LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
DEU,PHARMAEXP,TOT,USD_CAP,A,2017,854.673,
DEU,PHARMAEXP,TOT,USD_CAP,A,2018,883.643,
GRC,PHARMAEXP,TOT,USD_CAP,A,2015,559.265,
GRC,PHARMAEXP,TOT,USD_CAP,A,2016,592.941,
GRC,PHARMAEXP,TOT,USD_CAP,A,2017,617.782,
GRC,PHARMAEXP,TOT,USD_CAP,A,2018,594.516,
HUN,PHARMAEXP,TOT,USD_CAP,A,2015,563.738,
HUN,PHARMAEXP,TOT,USD_CAP,A,2016,589.361,
HUN,PHARMAEXP,TOT,USD_CAP,A,2017,565.46,
HUN,PHARMAEXP,TOT,USD_CAP,A,2018,577.534,
ISL,PHARMAEXP,TOT,USD_CAP,A,2015,472.073,
ISL,PHARMAEXP,TOT,USD_CAP,A,2016,455.612,
ISL,PHARMAEXP,TOT,USD_CAP,A,2017,456.235,
ISL,PHARMAEXP,TOT,USD_CAP,A,2018,475.794,
IRL,PHARMAEXP,TOT,USD_CAP,A,2015,560.633,
IRL,PHARMAEXP,TOT,USD_CAP,A,2016,591.243,
IRL,PHARMAEXP,TOT,USD_CAP,A,2017,609.682,
IRL,PHARMAEXP,TOT,USD_CAP,A,2018,609.825,
ITA,PHARMAEXP,TOT,USD_CAP,A,2015,551.842,
ITA,PHARMAEXP,TOT,USD_CAP,A,2016,577.748,
ITA,PHARMAEXP,TOT,USD_CAP,A,2017,598.56,
ITA,PHARMAEXP,TOT,USD_CAP,A,2018,623.935,
ITA,PHARMAEXP,TOT,USD_CAP,A,2019,655.26,P
JPN,PHARMAEXP,TOT,USD_CAP,A,2015,891.393,
JPN,PHARMAEXP,TOT,USD_CAP,A,2016,797.939,
JPN,PHARMAEXP,TOT,USD_CAP,A,2017,802.679,
KOR,PHARMAEXP,TOT,USD_CAP,A,2015,517.378,
KOR,PHARMAEXP,TOT,USD_CAP,A,2016,552.754,
KOR,PHARMAEXP,TOT,USD_CAP,A,2017,572.617,
KOR,PHARMAEXP,TOT,USD_CAP,A,2018,617.336,
KOR,PHARMAEXP,TOT,USD_CAP,A,2019,677.595,P
LUX,PHARMAEXP,TOT,USD_CAP,A,2015,548.233,
LUX,PHARMAEXP,TOT,USD_CAP,A,2016,564.368,
LUX,PHARMAEXP,TOT,USD_CAP,A,2017,573.086,
LUX,PHARMAEXP,TOT,USD_CAP,A,2018,588.225,
MEX,PHARMAEXP,TOT,USD_CAP,A,2015,290.292,
MEX,PHARMAEXP,TOT,USD_CAP,A,2016,246.4,B
MEX,PHARMAEXP,TOT,USD_CAP,A,2017,254.305,
MEX,PHARMAEXP,TOT,USD_CAP,A,2018,253.515,
NLD,PHARMAEXP,TOT,USD_CAP,A,2015,381.096,
NLD,PHARMAEXP,TOT,USD_CAP,A,2016,392.738,
NLD,PHARMAEXP,TOT,USD_CAP,A,2017,400.515,
NLD,PHARMAEXP,TOT,USD_CAP,A,2018,404.472,
NLD,PHARMAEXP,TOT,USD_CAP,A,2019,430.153,P
NOR,PHARMAEXP,TOT,USD_CAP,A,2015,439.683,
NOR,PHARMAEXP,TOT,USD_CAP,A,2016,446.688,
NOR,PHARMAEXP,TOT,USD_CAP,A,2017,463.916,
NOR,PHARMAEXP,TOT,USD_CAP,A,2018,465.655,P
NOR,PHARMAEXP,TOT,USD_CAP,A,2019,473.138,P
POL,PHARMAEXP,TOT,USD_CAP,A,2015,385.94,
POL,PHARMAEXP,TOT,USD_CAP,A,2016,411.06,
POL,PHARMAEXP,TOT,USD_CAP,A,2017,421.925,
POL,PHARMAEXP,TOT,USD_CAP,A,2018,439.524,
PRT,PHARMAEXP,TOT,USD_CAP,A,2015,392.909,
PRT,PHARMAEXP,TOT,USD_CAP,A,2016,434.303,B
PRT,PHARMAEXP,TOT,USD_CAP,A,2017,437.598,
PRT,PHARMAEXP,TOT,USD_CAP,A,2018,454.995,
SVK,PHARMAEXP,TOT,USD_CAP,A,2015,553.341,
SVK,PHARMAEXP,TOT,USD_CAP,A,2016,542.397,
SVK,PHARMAEXP,TOT,USD_CAP,A,2017,540.572,
SVK,PHARMAEXP,TOT,USD_CAP,A,2018,546.503,
ESP,PHARMAEXP,TOT,USD_CAP,A,2015,462.043,
ESP,PHARMAEXP,TOT,USD_CAP,A,2016,499.848,
ESP,PHARMAEXP,TOT,USD_CAP,A,2017,513.813,
ESP,PHARMAEXP,TOT,USD_CAP,A,2018,525.241,P
SWE,PHARMAEXP,TOT,USD_CAP,A,2015,503.705,
SWE,PHARMAEXP,TOT,USD_CAP,A,2016,522.943,
SWE,PHARMAEXP,TOT,USD_CAP,A,2017,520.641,
SWE,PHARMAEXP,TOT,USD_CAP,A,2018,534.314,
CHE,PHARMAEXP,TOT,USD_CAP,A,2015,756.655,
CHE,PHARMAEXP,TOT,USD_CAP,A,2016,811.989,
CHE,PHARMAEXP,TOT,USD_CAP,A,2017,846.218,
CHE,PHARMAEXP,TOT,USD_CAP,A,2018,893.879,
GBR,PHARMAEXP,TOT,USD_CAP,A,2015,481.458,
GBR,PHARMAEXP,TOT,USD_CAP,A,2016,492.97,
GBR,PHARMAEXP,TOT,USD_CAP,A,2017,516.455,
GBR,PHARMAEXP,TOT,USD_CAP,A,2018,526.206,
USA,PHARMAEXP,TOT,USD_CAP,A,2015,1176.715,
USA,PHARMAEXP,TOT,USD_CAP,A,2016,1192.161,
USA,PHARMAEXP,TOT,USD_CAP,A,2017,1202.641,
USA,PHARMAEXP,TOT,USD_CAP,A,2018,1228.664,
EST,PHARMAEXP,TOT,USD_CAP,A,2015,340.401,
EST,PHARMAEXP,TOT,USD_CAP,A,2016,385.872,
EST,PHARMAEXP,TOT,USD_CAP,A,2017,389.149,
EST,PHARMAEXP,TOT,USD_CAP,A,2018,413.04,
ISR,PHARMAEXP,TOT,USD_CAP,A,2015,309.642,
ISR,PHARMAEXP,TOT,USD_CAP,A,2016,329.793,
SVN,PHARMAEXP,TOT,USD_CAP,A,2015,470.898,
SVN,PHARMAEXP,TOT,USD_CAP,A,2016,500.256,
SVN,PHARMAEXP,TOT,USD_CAP,A,2017,524.874,
SVN,PHARMAEXP,TOT,USD_CAP,A,2018,546.344,
LVA,PHARMAEXP,TOT,USD_CAP,A,2015,388.469,
LVA,PHARMAEXP,TOT,USD_CAP,A,2016,456.46,
LVA,PHARMAEXP,TOT,USD_CAP,A,2017,460.346,
LVA,PHARMAEXP,TOT,USD_CAP,A,2018,491.718,
LTU,PHARMAEXP,TOT,USD_CAP,A,2015,515.241,
LTU,PHARMAEXP,TOT,USD_CAP,A,2016,570.347,
LTU,PHARMAEXP,TOT,USD_CAP,A,2017,536.736,
LTU,PHARMAEXP,TOT,USD_CAP,A,2018,525.916,
